fid;postcode;groen_mean;groen_median;groen_stdev;groen_min;groen_max,,
1;1011;4;4;0;4;4,,
2;1012;4;4;0;4;4,,
3;1013;4;4;0;4;4,,
4;1014;4;4;0;4;4,,
5;1015;4;4;0;4;4,,
6;1016;4;4;0;4;4,,
7;1017;4;4;0;4;4,,
8;1018;4;4;0;4;4,,
9;1019;4;4;0;4;4,,
10;1021;4;4;0;4;4,,
11;1022;4;4;0;4;4,,
12;1023;3,72203E+14;4;8,69856E+14;1;4
13;1024;4;4;0;4;4,,
14;1025;4;4;0;4;4,,
15;1026;2,52558E+14;3;1,16485E+14;1;4
16;1027;1,95023E+14;1;1,38468E+14;1;4
17;1028;2,00654E+14;1;1,1768E+14;1;4
18;1031;4;4;0;4;4,,
19;1032;4;4;0;4;4,,
20;1033;4;4;0;4;4,,
21;1034;4;4;0;4;4,,
22;1035;3,72903E+14;4;8,59938E+14;1;4
23;1036;4;4;0;4;4,,
24;1037;4;4;0;4;4,,
25;1041;4;4;0;4;4,,
26;1042;4;4;0;4;4,,
27;1043;3,80675E+14;4;3,94847E+14;3;4
28;1044;4;4;0;4;4,,
29;1045;4;4;0;4;4,,
30;1046;3,72823E+14;4;4,44872E+14;3;4
31;1047;3,85564E+14;4;5,66807E+14;1;4
32;1051;4;4;0;4;4,,
33;1052;4;4;0;4;4,,
34;1053;4;4;0;4;4,,
35;1054;4;4;0;4;4,,
36;1055;4;4;0;4;4,,
37;1056;4;4;0;4;4,,
38;1057;4;4;0;4;4,,
39;1058;4;4;0;4;4,,
40;1059;4;4;0;4;4,,
41;1060;3,94846E+14;4;3,89829E+14;1;4
42;1061;4;4;0;4;4,,
43;1062;4;4;0;4;4,,
44;1063;4;4;0;4;4,,
45;1064;4;4;0;4;4,,
46;1065;4;4;0;4;4,,
47;1066;3,96453E+14;4;3,1038E+14;1;4
48;1067;3,24051E+14;4;1,27182E+14;1;4
49;1068;4;4;0;4;4,,
50;1069;4;4;0;4;4,,
51;1071;4;4;0;4;4,,
52;1072;4;4;0;4;4,,
53;1073;4;4;0;4;4,,
54;1074;4;4;0;4;4,,
55;1075;4;4;0;4;4,,
56;1076;4;4;0;4;4,,
57;1077;4;4;0;4;4,,
58;1078;4;4;0;4;4,,
59;1079;4;4;0;4;4,,
60;1081;3,57536E+14;4;4,94288E+14;3;4
61;1082;4;4;0;4;4,,
62;1083;4;4;0;4;4,,
63;1086;4;4;0;4;4,,
64;1087;3,89628E+14;4;3,05012E+14;2;4
65;1091;4;4;0;4;4,,
66;1092;4;4;0;4;4,,
67;1093;4;4;0;4;4,,
68;1094;4;4;0;4;4,,
69;1095;3,97786E+14;4;2,56772E+14;1;4
70;1096;3,13839E+14;4;1,30015E+14;1;4
71;1097;4;4;0;4;4,,
72;1098;4;4;0;4;4,,
73;1101;4;4;0;4;4,,
74;1102;4;4;0;4;4,,
75;1103;3,79296E+14;4;4,05187E+14;3;4
76;1104;3,85724E+14;4;3,49832E+14;3;4
77;1105;3,55084E+14;4;4,97409E+13;3;4
78;1106;3,58543E+14;4;9,81087E+14;1;4
79;1107;3,44241E+14;4;7,17087E+14;1;4
80;1108;3,24024E+14;3;8,56238E+14;1;4
81;1109;3,16461E+14;3;8,52712E+14;1;4
82;1111;3,41805E+14;4;7,59512E+14;1;4
83;1112;3,49977E+14;4;5,37072E+14;1;4
84;1113;3,92631E+14;4;2,61273E+14;3;4
85;1114;3,94372E+14;4;4,07013E+14;1;4
86;1115;3,89615E+14;4;5,48415E+14;1;4
87;1117;3,98376E+13;4;1,26381E+14;3;4
88;1118;3,86801E+14;4;6,15268E+14;1;4
89;1119;3,86825E+14;4;6,1473E+14;1;4
90;1121;1,9137E+14;2;9,50154E+14;1;4
91;1127;2,41691E+14;2;8,27941E+14;1;4
92;1131;2,63547E+14;4;1,47852E+14;1;4
93;1132;3,88885E+14;4;5,66647E+14;1;4
94;1135;2,46071E+14;2;1,37006E+14;1;4
95;1141;2,29516E+14;3;1,27109E+14;1;4
