fid,postcode,aantal_inwoners,percentage_laag_inkomen_huishouden,omgevingsadressendichtheid,stedelijkheid,mgr_mean,mgr_median,mgr_stdev,mgr_min,mgr_max,mgr_range
1,1011,9910,-99995,7150,1,7.290558894,7.133441687,0.967692118,5.898353577,10.84451675,4.946163177
2,1012,8900,-99995,8612,1,6.960371945,6.819243431,0.745157973,5.890296459,10.84663582,4.956339359
3,1013,22350,-99995,6614,1,7.533962477,7.285123825,1.303056694,5.605445862,14.4470005,8.841554642
4,1014,3900,-99995,3384,1,7.505070688,7.256184578,1.094641148,5.700474262,11.54208946,5.8416152
5,1015,14850,-99995,11140,1,6.591132335,6.457921982,0.422560201,6.025425434,8.500681877,2.475256443
6,1016,11275,-99995,11518,1,6.722064156,6.531470299,0.647591268,5.965075493,9.319297791,3.354222298
7,1017,13420,-99995,9605,1,6.47895401,6.294088364,0.598102263,5.822766304,9.607904434,3.78513813
8,1018,22430,-99995,7072,1,6.82519344,6.551345348,0.972262983,5.681452274,16.27505112,10.59359884
9,1019,20645,-99995,4378,1,6.387349792,6.102426291,0.921247859,0,13.57010841,13.57010841
10,1021,7045,-99995,3123,1,6.81018199,6.575963974,0.80270804,5.768699646,10.52663231,4.757932663
11,1022,5000,-99995,3036,1,6.876432848,6.648555279,1.12075637,5.269884586,14.88581371,9.615929127
12,1023,4625,-99995,2656,1,4.668089563,5.543681622,2.665973104,0,14.066679,14.066679
13,1024,13940,-99995,2672,1,5.921691036,5.639295101,0.766336066,5.046261311,10.49834347,5.452082157
14,1025,16325,-99995,3256,1,6.179813408,5.905180454,0.858997047,5.051690578,10.92943859,5.877748013
15,1026,545,-99995,114,5,4.810370126,4.420748711,1.094452448,0,11.56316471,11.56316471
16,1027,550,-99995,196,5,5.417127826,5.118553638,1.015037194,4.338726044,10.70612526,6.367399216
17,1028,615,-99995,41,5,4.20536054,4.205303669,0.250545906,0,5.703084946,5.703084946
18,1031,9190,-99995,3515,1,6.493666523,6.356236935,0.632024014,5.569713593,9.855984688,4.286271095
19,1032,6270,-99995,3115,1,6.451355313,6.301786661,0.776361662,5.419955254,10.97631836,5.556363106
20,1033,14155,-99995,2339,2,6.245223668,6.139041185,0.557632656,5.37443924,8.850382805,3.475943565
21,1034,15020,-99995,2772,1,6.15695848,5.841915607,0.874673766,5.218407631,10.86581707,5.647409439
22,1035,10785,-99995,2016,2,6.685036552,6.517053127,1.009273583,5.37076807,11.41638184,6.045613766
23,1036,2675,-99995,2777,1,5.614478804,5.551403046,0.217198026,5.313630104,6.367610455,1.05398035
24,1037,145,-99995,315,5,6.553541311,6.272925854,0.540470654,6.153173447,8.622676849,2.469503403
25,1041,-99997,-99995,100,5,7.863849681,7.709319115,1.21232615,5.788889885,13.95870399,8.16981411
26,1042,15,-99995,125,5,8.226547065,8.134132862,0.854068964,6.566449165,12.78203297,6.215583801
27,1043,1035,-99995,2235,2,7.913377904,7.814455986,0.838535453,5.95351696,11.27279854,5.319281578
28,1044,-99997,-99995,51,5,7.816524123,7.714297771,0.855096392,5.742874622,11.85090923,6.108034611
29,1045,-99997,-99995,47,5,7.510612471,7.333558321,1.027405261,5.969584942,16.53917122,10.56958628
30,1046,130,-99995,324,5,7.825676111,7.694454193,1.087033544,6.088991165,14.86950588,8.780514717
31,1047,30,-99995,92,5,8.088037445,8.007897377,1.033232753,6.106559277,14.71206093,8.605501652
32,1051,13140,-99995,9097,1,6.478091807,6.260818243,0.619955716,5.762123585,9.05551815,3.293394566
33,1052,11920,-99995,11685,1,6.808443161,6.45329237,0.770217962,6.048918724,9.682216644,3.63329792
34,1053,16455,-99995,11760,1,6.621946991,6.273423433,0.78431313,5.842763424,9.465950012,3.623186588
35,1054,17300,-99995,10012,1,6.680151574,6.168037415,0.943350503,5.794977188,9.599871635,3.804894447
36,1055,20760,-99995,7098,1,6.818762011,6.437869787,0.935502837,5.804264545,10.45405102,4.649786472
37,1056,20225,-99995,10113,1,6.705255691,6.350192547,0.80093538,5.897768497,9.290817261,3.393048763
38,1057,17225,-99995,10817,1,6.520432697,6.258308887,0.701219341,5.825167656,9.01683712,3.191669464
39,1058,15645,-99995,8344,1,6.947835383,6.599091768,0.969720009,5.804251194,10.41698265,4.612731457
40,1059,7090,-99995,6329,1,8.086364027,7.912674189,1.511862223,5.969351768,15.41050148,9.441149712
41,1060,10010,-99995,3202,1,5.942819147,5.814129353,0.56735956,5.194838047,8.707297325,3.512459278
