pc4,stedelijkheid,mgr_mean,PercentageTrees,PercentageBushes,PercentageGrass
1011,1,7.290558894,20.29,5.89,17.21
1012,1,6.960371945,16.31,4.38,13.89
1013,1,7.533962477,21.12,7.54,30.54
1014,1,7.505070688,29.92,10.18,41.75
1015,1,6.591132335,21.36,7.43,17.37
1016,1,6.722064156,23.65,6.78,16.67
1017,1,6.47895401,27.79,8.0,20.1
1018,1,6.82519344,26.2,7.93,25.62
1019,1,6.387349792,17.09,7.11,31.22
1021,1,6.81018199,19.6,7.8,28.25
1022,1,6.876432848,44.12,7.93,34.5
1023,1,4.668089563,33.11,11.2,39.2
1024,1,5.921691036,36.37,8.84,34.71
1025,1,6.179813408,33.07,9.0,35.78
1026,5,4.810370126,24.92,11.34,63.19
1027,5,5.417127826,31.92,9.29,63.06
1028,5,4.20536054,21.14,7.95,66.95
1031,1,6.493666523,21.59,7.26,34.17
1032,1,6.451355313,26.91,7.56,34.12
1033,2,6.245223668,24.79,7.8,35.05
1034,1,6.15695848,26.59,9.52,43.02
1035,2,6.685036552,27.75,10.84,42.46
1036,1,5.614478804,5.48,6.25,33.1
1037,5,6.553541311,17.1,9.31,35.62
1041,5,7.863849681,24.38,6.49,48.12
1042,5,8.226547065,23.7,7.23,40.29
1043,2,7.913377904,25.01,10.2,47.91
1044,5,7.816524123,25.48,8.57,46.34
1045,5,7.510612471,22.22,7.25,61.27
1046,5,7.825676111,27.11,12.84,57.51
1047,5,8.088037445,31.16,10.11,61.7
1051,1,6.478091807,21.54,8.54,27.0
1052,1,6.808443161,25.99,8.02,20.48
1053,1,6.621946991,20.64,8.08,20.2
1054,1,6.680151574,26.38,8.4,21.14
1055,1,6.818762011,25.0,8.64,29.08
1056,1,6.705255691,27.34,8.64,29.73
1057,1,6.520432697,31.23,8.64,29.9
1058,1,6.947835383,34.77,8.09,30.19
1059,1,8.086364027,27.78,8.56,30.18
1060,1,5.942819147,23.22,7.29,40.55
1061,1,7.091313002,20.99,7.57,31.62
1062,1,7.89857817,28.32,7.95,41.0
1063,1,6.686211455,28.05,8.44,36.3
1064,1,6.178673418,35.52,8.36,37.97
1065,1,6.242917951,31.2,8.17,36.19
1066,1,7.230092089,30.38,9.58,40.66
1067,1,6.123689897,29.13,9.1,53.3
1068,1,6.057231408,27.03,7.9,36.29
1069,1,5.900347841,23.96,7.28,35.78
1071,1,6.412360693,27.96,8.78,27.96
1072,1,6.488769283,25.39,7.84,19.94
1073,1,6.371156146,26.76,8.55,21.09
1074,1,6.819549772,22.76,8.54,20.25
1075,1,6.669918164,31.44,9.22,30.75
1076,1,7.095652899,24.79,8.06,31.41
1077,1,6.472601634,31.68,8.71,29.72
1078,1,6.74371759,21.59,8.39,25.33
1079,1,6.61116373,30.58,9.08,31.78
1081,1,6.681938021,34.92,10.14,34.91
1082,1,6.444352603,31.55,9.08,30.7
1083,1,6.808559033,39.38,9.44,33.56
1086,3,4.21190249,8.71,8.22,37.39
1087,2,4.137035619,19.06,11.27,49.8
1091,1,6.748347535,21.39,8.4,24.46
1092,1,6.518532943,31.94,8.5,30.07
1093,1,6.703282818,19.59,8.76,24.59
1094,1,6.423551817,17.5,7.73,22.3
1095,1,5.622028077,34.44,9.77,41.68
1096,1,7.671820103,29.18,10.17,45.16
1097,1,6.559553132,31.1,8.98,36.53
1098,1,6.278700067,26.47,9.33,40.81
1101,2,8.107437833,16.76,6.54,38.25
1102,1,6.610726105,26.5,8.22,44.28
1103,1,6.574591954,31.23,8.95,41.54
1104,1,6.146747186,27.53,7.55,42.07
1105,2,6.8437984,31.18,9.39,55.76
1106,1,5.377697178,29.55,10.55,38.67
1107,2,4.997004996,28.18,9.12,41.07
1108,2,5.432503712,41.12,10.62,44.28
1109,5,5.65853008,32.78,11.62,55.63
1111,1,6.50441931,31.96,13.24,46.91
1112,1,7.09758124,30.28,12.54,42.09
1113,3,5.871702357,19.82,7.89,35.15
1114,3,8.375136063,28.04,10.23,48.01
1115,2,6.852619895,28.08,10.37,36.14
1117,5,9.755731354,23.11,6.95,81.03
